,equity,delta
2017-01-12,-16583.0,0.0
2017-01-13,-16583.0,0.0
2017-01-17,-16586.0,-1.0
2017-01-18,-16886.0,-1.0
2017-01-19,-16411.0,-1.0
2017-01-20,-16751.5,0.0
2017-01-23,-16751.5,0.0
2017-01-24,-16751.5,0.0
2017-01-25,-16751.5,0.0
2017-01-26,-16751.5,0.0
2017-01-27,-16751.5,0.0
2017-01-30,-16751.5,0.0
2017-01-31,-16751.5,0.0
2017-02-01,-16751.5,0.0
2017-02-02,-16751.5,0.0
2017-02-03,-16751.5,0.0
2017-02-06,-16751.5,0.0
2017-02-07,-16751.5,0.0
2017-02-08,-16751.5,0.0
2017-02-09,-16751.5,0.0
2017-02-10,-16751.5,0.0
2017-02-13,-16751.5,0.0
2017-02-14,-16751.5,0.0
2017-02-15,-16751.5,0.0
2017-02-16,-16751.5,0.0
2017-02-17,-16751.5,0.0
2017-02-21,-16751.5,0.0
2017-02-22,-16751.5,0.0
2017-02-23,-16751.5,0.0
2017-02-24,-16751.5,0.0
2017-02-27,-16751.5,0.0
2017-02-28,-16751.5,0.0
2017-03-01,-16751.5,0.0
2017-03-02,-16751.5,0.0
2017-03-03,-16751.5,0.0
2017-03-06,-16751.5,0.0
2017-03-07,-16751.5,0.0
2017-03-08,-16751.5,0.0
2017-03-09,-16751.5,0.0
2017-03-10,-16751.5,0.0
2017-03-13,-16751.5,0.0
2017-03-14,-16751.5,0.0
2017-03-15,-16751.5,0.0
2017-03-16,-16751.5,0.0
2017-03-17,-16751.5,0.0
2017-03-20,-16751.5,0.0
2017-03-21,-16751.5,0.0
2017-03-22,-16751.5,0.0
2017-03-23,-16751.5,0.0
2017-03-24,-16751.5,0.0
2017-03-27,-16754.5,-1.0
2017-03-28,-17542.0,-1.0
2017-03-29,-17592.0,-1.0
2017-03-30,-17954.5,-1.0
2017-03-31,-17942.0,-1.0
2017-04-03,-17479.5,-1.0
2017-04-04,-17517.0,-1.0
2017-04-05,-17342.0,-1.0
2017-04-06,-17417.0,-1.0
2017-04-07,-17392.0,-1.0
2017-04-10,-17429.5,-1.0
2017-04-11,-17017.0,-1.0
2017-04-12,-16767.0,-1.0
2017-04-13,-16129.5,-1.0
